bairro;setor_territorial;loteamentos;fonte;snapshot
Aclimação;Leste;Bosque dos Buritis | Terra Nova Uberlândia | Aclimação* | Ubatuba | Jardim Califórnia (parte) | Jardim Ipanema ll (parte) | Aeroporto (parte)* | Quinta Alto Umuarama;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Alto Umuarama;Leste;Alto Umuarama ll | Alto Umuarama lll (parte) | Novo Horizonte (parte)* | Custódio Pereira (parte)* | Girassol | Tibery (parte)* | Aeroporto (parte)* | Concentric Participações e Empreendimentos;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Alvorada;Leste;Residencial Alvorada 2 | Residencial Alvorada 3;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Bom Jesus;Central;Vila das Tabocas* | Custódio da Costa Pereira (parte)*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Brasil;Central;Vila Brasil (parte)* | Fluminense (parte)* | Vila Santa Terezinha (parte)* | Custódio Pereira (parte)*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Carajás;Sul;Residencial Carajás | Jardim Ozanam (parte) | Setor da Vila Saraiva 1 – Jeová de Oliveira (parte)* | Setor da Vila Saraiva – Prolongamento 1 – Joaquim Saraiva (parte)* | Santo Antônio I – Cosme Lúcio de Paula* | Leão Xlll (parte)* | Setor da Vila Saraiva 4 – Francisco Saraiva* | Setor da Vila Saraiva – Cláudio Ernesto Crosara ** | Setor da Vila Saraiva 2 – Anízio Saraiva e Periano Soares de Aguiar * | Jardim Xangrilá | Setor da Vila Saraiva 5 – Antônio Saraiva Primo (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Cazeca;Central;Cazeca (parte)* | Erlan;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Centro;Central;Custódio da Costa Pereira (parte)* | Vila Osvaldo (parte)*;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Chácaras Tubalina e Quartel;Oeste;Residencial Tubalina 2 (Reloteamento) | Tubalina e | Residencial Chácaras Tubalina II(Reloteamento) | Quartel | Residencial Chácaras Tubalina I(Reloteamento) | Residencial Tubalina 1(Reloteamento) | Residencial Amarilis(Reloteamento) | Residencial Primavera(Reloteamento) | Brasil | (continuação) | Primavera(Reloteamento) | Parque Uruguaiana(Reloteamento) | Residencial Serra Dourada(Reloteamento) | Residencial Jardins Imbaúba(Reloteamento) | Jaraguá – Prolongamento (parte) (Reloteamento) | Residencial Aguapé II (Reloteamento) | Residencial Bilbao II (Reloteamento) | Residencial Jaraguá II (Reloteamento) | Residencial Marco Túlio Marquez (Reloteamento) | Planalto I (parte) | Jeová Abrahão (Reloteamento) | Edma da Silva Lannes (Reloteamento) | Residencial Acácias (Reloteamento) | Residencial Ouro Verde (Reloteamento) | Joaquim Peixoto dos Santos (Reloteamento) | Recanto do Cerrado (Reloteamento) | Manoel de Andrade (Reloteamento) | Residenciais América do Sul e América do Norte | (Reloteamento) | Bárbara Andrade e Outros (Reloteamento) | João Batista Lúcio (Reloteamento) | Piu Empreendimentos Imobiliários Ltda | Empreendimentos Imobiliários Canaã Ltda | Kimifuku Takei (Reloteamento) | Parque Hungria (Reloteamento) | Chácaras | Parque Union (Reloteamento) | Residencial Atlanta (Reloteamento) | Residencial Jardins Évora (Reloteamento) | Britamix Construções (Reloteamento) | Joab de Albuquerque Maranhão (Reloteamento) | Jeovah de Oliveira e Geraldo Majela Cunha | Jefferson Pascoal e Outra (Reloteamento) | João Borges de Souza e Daniel Albuquerque Maranhão | Maria Aparecida Malagoli Buiatti (Reloteamento) | Marconi Paulo de Albuquerque (Reloteamento) | Mizael Oliveira Terra (Reloteamento) | Haroldo Rodrigues Serralha e Darcy Alvim Serralha | Francisco Martins Meza (Reloteamento) | Residencial Terra Nova Florença (Reloteamento) | Unistela (Reloteamento) | Residencial Ponto Turquesa (Reloteamento) | Ponto Cristal (Reloteamento) | Residencial Ponto Siena (Reloteamento) | Residencial Ponto Lótus (Reloteamento) | Jerônima Maria dos Santos (Reloteamento) | Valdomiro Trento (Reloteamento) | Residencial Solaris (Reloteamento) | Residencial Ponto Turim (Reloteamento) | Residencial Ponto Venesa (Reloteamento) | Residencial Ponto Verona (Reloteamento) | Tubalina;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Cidade Jardim;Sul;Vila Cilene (parte)* | Cidade Jardim - Ampliação | Cidade Jardim – Setor A | Nova Uberlândia (parte) | Jardins Barcelona (parte);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
