grupo;id;url_fonte;bairro;area_total_m2;valor_anunciado
1;delta-14857;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Shopping-Park/14857;Shopping Park;9437;1680000
1;zapim-2895655073;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-shopping-park-uberlandia-mg-9437m2-id-2895655073/;Shopping Park;9437;1680000
1;vivar-2895655073;https://www.vivareal.com.br/imovel/lote-terreno-shopping-park-bairros-uberlandia-9437m2-venda-RS1680000-id-2895655073/;Shopping Park;9437;1680000
2;delta-19554;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/19554;Chácaras Uirapuru;5250;2625000
2;delta-42898;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42898;Chácaras Uirapuru;5211;2100000
2;delta-42901;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42901;Chácaras Uirapuru;5280;2112000
2;delta-42904;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42904;Chácaras Uirapuru;5266;2110000
2;delta-42905;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42905;Chácaras Uirapuru;5250;2365000
3;delta-21709;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/21709;Chácaras Tubalina e Quartel;6000;3500000
3;delta-22207;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/22207;Chácaras Tubalina e Quartel;6000;4250000
3;zapim-2723031739;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-6000m2-id-2723031739/;Chácaras Tubalina E Quartel;6000;3000000
3;zapim-2823662613;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-chacaras-tubalina-e-quartel-uberlandia-mg-6000m2-id-2823662613/;Chácaras Tubalina E Quartel;6000;3500000
4;delta-28481;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/28481;Morada dos Pássaros;5000;1900000
4;delta-33031;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/33031;Morada dos Pássaros;5000;1900000
4;delta-51991;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/51991;Morada dos Pássaros;5000;1895000
4;ivann-83398;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Area/Morada-dos-Passaros/83398;Morada dos Passaros;5041;1900000
4;zapim-2872964648;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-morada-dos-passaros-uberlandia-mg-5000m2-id-2872964648/;Morada dos Pássaros;5000;1900000
