dominio;url_categoria;status;filtro_metragem;campos_disponiveis;estoque_estimado_acima_5000m2;observacao
deltaimoveis.com.br;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area;viavel;nao (a_min ignorado pelo servidor);area,valor,bairro,codigo,corretor,creci,descricao;;Semente. Server-side. Categoria "Area" com ~164 anuncios (14 pags) + "Terreno" com 1062 (89 pags). SEM telefone no HTML (form com recaptcha). Estoque >5000 sera medido na varredura completa do piloto (pag 1 da categoria Area ja mostrou 5 cards >=5000: 5.500/6.044/11.461/24.000/100.000 m2).
ivannegocios.com.br;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno;viavel;nao (a_min ignorado pelo servidor);area,valor,bairro,codigo,corretor,creci,telefone institucional;;Semente. Mesmo CMS da Delta. Categoria "Terreno" 1060 anuncios inclui subtipo "Area"; a categoria "Area" isolada nao lista cards. Telefone institucional (matriz + whatsapp) presente na pagina do anuncio.
guinzaimoveis.com.br;https://www.guinzaimoveis.com.br/area/a-venda/uberlandia-mg;viavel;nao (min_area ignorado);area,valor,bairro,telefone,whatsapp,descricao;;Categoria "area" com 2 paginas; slugs ja mostram 10.162/32.500/47.498/65.000/160.000/800.000 m2. Tambem tem categoria terreno-lote. Telefone no anuncio.
eliteimobiliaria.com;https://eliteimobiliaria.com/terreno-lote/a-venda/uberlandia-mg;viavel;nao (min_area ignorado);area,valor,bairro,telefone,whatsapp,descricao;;Mesma plataforma da Guinza/Wender. 5 paginas terreno-lote; categoria "area" vazia. Telefone no anuncio.
wenderbernardesimoveis.com.br;https://wenderbernardesimoveis.com.br/terreno-lote/a-venda/uberlandia-mg;viavel;nao (min_area ignorado);area,valor,bairro,telefone,whatsapp,descricao;;Mesma plataforma da Guinza/Elite. Categoria "area" (1 pag: 12.788/6.750/5.000 m2) + terreno-lote (2 pags). Telefone no anuncio.
objetivauberlandia.com.br;https://www.objetivauberlandia.com.br/venda/terreno;viavel;a testar;area,valor,bairro,telefone,whatsapp;;Detalhe amostral rico (area em loteamento CEL III, fones (34) 3195-2983 / 3253-9800). Categorias /venda/terreno e /venda/area na fila do lote 3. CRAWL4AI (undetected, 2026-09-02): listagem JS renderizada (200) — viavel para coleta futura.
ativaimoveismg.com.br;https://ativaimoveismg.com.br/imoveis/Venda/Terreno;viavel;nao;links detalhe;;10 anuncios de terreno na 1a pagina (maioria lote de condominio). Paginacao nao visivel na pagina 1. Estoque pequeno.
ultraimoveis.com;https://ultraimoveis.com/comprar/mg/uberlandia/terreno;viavel;nao;links detalhe;;Categoria terreno funciona (~7 anuncios visiveis). Estoque pequeno.
imoveisuberlandia.com.br;http://www.imoveisuberlandia.com.br/lote_terreno-venda-uberlandia_mg;viavel_baixa_prioridade;nao;links detalhe,area;;HTTP sem TLS; 69 links de detalhe mas areas visiveis todas 300-360 m2 (lotes pequenos). Operado por "Edificar Inteligencia Imobiliaria".
zapimoveis.com.br;https://www.zapimoveis.com.br/venda/terrenos-lotes-condominios/mg+uberlandia/?areaMinima=5000;viavel;SIM (areaMinima na URL funciona);area,valor,bairro,JSON-LD;150 anuncios >=5000 m2 (filtro do site); COLETADO: 146 detalhes unicos baixados, 126 linhas ativas na base;Portal. Varrido por completo no nivel do filtro. Rate-limit 429 contornado com cadencia 8-15s.
vivareal.com.br;https://www.vivareal.com.br/venda/minas-gerais/uberlandia/lote-terreno_residencial/;viavel;SIM (areaMinima funciona);area,valor,bairro,JSON-LD;116 URLs unicas >=5000 m2 (filtro do site); COLETADO: 95 linhas ativas;Portal do grupo OLX. Varrido por completo no nivel do filtro.
chavesnamao.com.br;https://www.chavesnamao.com.br/terrenos-a-venda/mg-uberlandia/;sem_estoque_no_corte;nao (areamin ignorado);area,valor,bairro,telefone,JSON-LD;0 anuncios >=4900 m2 nas 6 primeiras paginas;Server-side. 6 paginas varridas, nada no corte; estoque de grandes areas nao aparece na listagem padrao.
lopes.com.br;https://www.lopes.com.br/busca/venda/br/mg/uberlandia/tipo/terreno;sem_estoque_no_corte;nao;area,valor,bairro;0 anuncios >=4900 m2 em 3 paginas;Rede nacional; estoque local pequeno e de lotes urbanos comuns.
nestoria.com.br;https://www.nestoria.com.br/uberlandia/terreno/venda;agregador_baixa_prioridade;;;;Indexa anuncios de terceiros (risco de desatualizacao e dedup); usar apenas se as camadas anteriores renderem pouco.
imoveis.trovit.com.br;https://imoveis.trovit.com.br/terreno-uberlandia-m2;agregador_baixa_prioridade;;;;Idem Nestoria.
storteimoveis.com.br;https://www.storteimoveis.com.br/imoveis/a-venda/area+terreno/uberlandia;bloqueado_robots;;;;robots.txt proibe a rota de listagem (disallow). Respeitado — nao coletado.
nexusimob.com;https://www.nexusimob.com/imoveis/a-venda/terreno/uberlandia;bloqueado_robots;;;;robots.txt proibe (disallow). Respeitado.
glebaimoveis.com;https://www.glebaimoveis.com/imoveis/a-venda;bloqueado_robots;;;;robots.txt proibe (disallow). Respeitado. Cidade nem chegou a ser confirmada.
lbnegocios.com;https://www.lbnegocios.com/imoveis/a-venda/uberlandia;bloqueado_waf;;;;HTTP 403 tambem a partir do runner GitHub (WAF do site). CRAWL4AI (undetected, 2026-09-02): PASSOU (200, 428KB) — viavel para coleta futura.
imovelweb.com.br;https://www.imovelweb.com.br/terrenos-venda-uberlandia-mg.html;bloqueado_waf;;;;HTTP 403 (WAF). Snippet indicava 3.744 terrenos (todas as metragens). CRAWL4AI (undetected, 2026-09-02): NAO passou — challenge JS do Cloudflare ("Just a moment") nos 3 modos.
wimoveis.com.br;https://www.wimoveis.com.br/venda/terrenos/mg/uberlandia/;bloqueado_waf;;;;HTTP 403 (WAF). CRAWL4AI (undetected, 2026-09-02): NAO passou — challenge JS do Cloudflare nos 3 modos.
seuimovelgold.com.br;https://www.seuimovelgold.com.br/;bloqueado_waf;;;;HTTP 403 (WAF). CRAWL4AI (undetected, 2026-09-02): PASSOU (200, 203KB) — viavel para coleta futura.
estilonegocios.com.br;https://www.estilonegocios.com.br/;erro_conexao;;;;Conexao falhou a partir do runner (site fora do ar no momento do teste). Retestar.
mggaveaimoveis.com.br;https://mggaveaimoveis.com.br/;erro_dns;;;;Dominio nao resolve (NameResolutionError). Site possivelmente desativado.
praxisimoveis.com;https://praxisimoveis.com/imovel-tipo/terreno-gleba/;fora_do_escopo;;;;Imobiliaria de Rio Claro/SP (verificado no detalhe) — nao e Uberlandia.
josealdoimoveisrurais.com.br;https://www.josealdoimoveisrurais.com.br/;fora_do_escopo;;;;Especializada em imoveis rurais (escopo exclui rural).
evertonimobiliaria.com.br;https://evertonimobiliaria.com.br/;fora_do_escopo;;;;Especializada em imoveis rurais.
arantesimoveis.com;https://www.arantesimoveis.com/;sem_estoque_visivel;;;;Home 43KB sem links de listagem de terrenos detectados; sem categoria evidente. Baixa prioridade.
